STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD_NM,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT
2014,2,관광특구,양식음식점,8754140283.5
2014,2,관광특구,일식음식점,3630600565.8333335
2014,2,관광특구,중식음식점,2263826214.0
2014,2,관광특구,치킨전문점,1450926995.2
2014,2,관광특구,커피·음료,10033213470.166666
2014,2,관광특구,패스트푸드점,1675405262.5
2014,2,관광특구,한식음식점,24784630026.833332
2014,2,발달상권,분식전문점,820014618.227848
2014,2,발달상권,양식음식점,1288383293.753769
2014,2,발달상권,일식음식점,911801645.7692307
2014,2,발달상권,중식음식점,416400553.69483566
2014,2,발달상권,치킨전문점,452585235.68108106
2014,2,발달상권,커피·음료,1594970137.1451614
2014,2,발달상권,패스트푸드점,484078851.55932206
2014,2,발달상권,한식음식점,5171952244.12253
2014,2,전통시장,분식전문점,123545991.32278481
2014,2,전통시장,양식음식점,250375055.64285713
2014,2,전통시장,일식음식점,132083086.7755102
2014,2,전통시장,중식음식점,70132126.9625
2014,2,전통시장,치킨전문점,81260220.0625
2014,2,전통시장,커피·음료,154914094.13207546
2014,2,전통시장,패스트푸드점,146717046.93243244
2014,2,전통시장,한식음식점,722110612.2745098
2014,3,골목상권,분식전문점,109236089.1586369
2014,3,골목상권,양식음식점,240040012.2820513
2014,3,골목상권,일식음식점,150791980.1362229
2014,3,골목상권,중식음식점,104665341.4155456
2014,3,골목상권,치킨전문점,112042264.19363762
2014,3,골목상권,커피·음료,152212650.09156626
2014,3,골목상권,패스트푸드점,110509002.24279836
2014,3,골목상권,한식음식점,855893291.8221105
2014,3,관광특구,분식전문점,4432819797.333333
2014,3,관광특구,양식음식점,8797213074.166666
2014,3,관광특구,일식음식점,3461802239.3333335
2014,3,관광특구,중식음식점,2315145288.1666665
2014,3,관광특구,치킨전문점,1371473026.6
2014,3,관광특구,커피·음료,10538194411.166666
2014,3,관광특구,패스트푸드점,1826127343.6666667
2014,3,관광특구,한식음식점,24211541324.333332
2014,3,발달상권,분식전문점,843405865.2184874
2014,3,발달상권,양식음식점,1312112694.745
2014,3,발달상권,일식음식점,897429718.7894737
2014,3,발달상권,중식음식점,437479810.1132075
2014,3,발달상권,치킨전문점,455455393.9144385
2014,3,발달상권,커피·음료,1716758405.2874494
2014,3,발달상권,패스트푸드점,501811593.08426964
2014,3,발달상권,한식음식점,5225324823.604743
2014,3,전통시장,분식전문점,126925081.09375
2014,3,전통시장,양식음식점,293845503.85365856
2014,3,전통시장,일식음식점,124534639.73076923
2014,3,전통시장,중식음식점,73610142.721519
2014,3,전통시장,치킨전문점,84729947.3245614
2014,3,전통시장,커피·음료,148598031.24545455
2014,3,전통시장,패스트푸드점,148422329.15068492
2014,3,전통시장,한식음식점,714853560.7044334
2014,4,골목상권,분식전문점,119660392.7116061
2014,4,골목상권,양식음식점,264658640.34726688
2014,4,골목상권,일식음식점,172236505.70336393
2014,4,골목상권,중식음식점,119658951.96246246
2014,4,골목상권,치킨전문점,115581561.20833333
2014,4,골목상권,커피·음료,144795502.6056338
2014,4,골목상권,패스트푸드점,127942539.8179959
2014,4,골목상권,한식음식점,938245014.0451807
2014,4,관광특구,분식전문점,5243249518.833333
2014,4,관광특구,양식음식점,10170403864.833334
2014,4,관광특구,일식음식점,4967451957.833333
2014,4,관광특구,중식음식점,2968420553.8333335
2014,4,관광특구,치킨전문점,1287177997.0
2014,4,관광특구,커피·음료,10186869031.833334
2014,4,관광특구,패스트푸드점,1957469319.3333333
2014,4,관광특구,한식음식점,28856171681.833332
2014,4,발달상권,분식전문점,907745002.8312236
2014,4,발달상권,양식음식점,1406572369.9748743
2014,4,발달상권,일식음식점,1018141792.4238095
2014,4,발달상권,중식음식점,515911344.48815167
2014,4,발달상권,치킨전문점,443952385.9945355
2014,4,발달상권,커피·음료,1621313995.9634147
2014,4,발달상권,패스트푸드점,507694537.20108694
2014,4,발달상권,한식음식점,5866153684.996047
2014,4,전통시장,분식전문점,137349126.42405063
2014,4,전통시장,양식음식점,293705028.3414634
2014,4,전통시장,일식음식점,175728874.50943395
2014,4,전통시장,중식음식점,78672507.1125
2014,4,전통시장,치킨전문점,90242855.51327434
2014,4,전통시장,커피·음료,146652220.78703704
2014,4,전통시장,패스트푸드점,149431654.44
2014,4,전통시장,한식음식점,781126672.6764706
2015,1,골목상권,분식전문점,105098834.10216346
2015,1,골목상권,양식음식점,230848272.16964287
2015,1,골목상권,일식음식점,153935725.7803468
2015,1,골목상권,중식음식점,116498643.93161094
2015,1,골목상권,치킨전문점,116867057.86789773
2015,1,골목상권,커피·음료,135220459.18117648
2015,1,골목상권,패스트푸드점,112781245.32862903
2015,1,골목상권,한식음식점,839757834.0413723
2015,1,관광특구,분식전문점,3763924853.3333335
2015,1,관광특구,양식음식점,9119249930.0
2015,1,관광특구,일식음식점,3410272121.0
2015,1,관광특구,중식음식점,2286970453.1666665
2015,1,관광특구,치킨전문점,1158904544.0
2015,1,관광특구,커피·음료,10004590535.666666
2015,1,관광특구,패스트푸드점,2043257326.6666667
2015,1,관광특구,한식음식점,25695236915.5
2015,1,발달상권,분식전문점,780486643.8791667
2015,1,발달상권,양식음식점,1288640912.0640395
2015,1,발달상권,일식음식점,892039984.3285714
2015,1,발달상권,중식음식점,465762330.57009345
2015,1,발달상권,치킨전문점,429154632.70108694
2015,1,발달상권,커피·음료,1495531020.5
2015,1,발달상권,패스트푸드점,516736476.27956986
2015,1,발달상권,한식음식점,5223260523.369047
2015,1,전통시장,분식전문점,121372326.45625
2015,1,전통시장,양식음식점,272625167.625
2015,1,전통시장,일식음식점,125565618.46428572
2015,1,전통시장,중식음식점,75699131.07228915
2015,1,전통시장,치킨전문점,82952230.14782609
2015,1,전통시장,커피·음료,136437790.4678899
2015,1,전통시장,패스트푸드점,138192663.2658228
2015,1,전통시장,한식음식점,733235245.2487805
2015,2,골목상권,분식전문점,118518174.55621302
2015,2,골목상권,양식음식점,246789698.65606937
2015,2,골목상권,일식음식점,155130671.92977527
2015,2,골목상권,중식음식점,122804552.71191554
2015,2,골목상권,치킨전문점,127046550.20224719
2015,2,골목상권,커피·음료,161678688.82359812
2015,2,골목상권,패스트푸드점,115265555.26574804
2015,2,골목상권,한식음식점,879829894.8519638
2015,2,관광특구,분식전문점,3435129440.0
2015,2,관광특구,양식음식점,8695687752.5
2015,2,관광특구,일식음식점,3242659030.8333335
2015,2,관광특구,중식음식점,2237319840.1666665
2015,2,관광특구,치킨전문점,1209596832.6666667
2015,2,관광특구,커피·음료,10495194434.666666
2015,2,관광특구,패스트푸드점,1896844635.0
2015,2,관광특구,한식음식점,24638417376.833332
2015,2,발달상권,분식전문점,793935995.7208333
2015,2,발달상권,양식음식점,1221544463.678218
2015,2,발달상권,일식음식점,843509256.9336493
2015,2,발달상권,중식음식점,464164894.9481132
2015,2,발달상권,치킨전문점,473066198.8406593
2015,2,발달상권,커피·음료,1616746822.9224489
2015,2,발달상권,패스트푸드점,516376160.87027025
2015,2,발달상권,한식음식점,5128207914.468254
2015,2,전통시장,분식전문점,126935976.09433962
2015,2,전통시장,양식음식점,258746644.425
2015,2,전통시장,일식음식점,117780423.56140351
2015,2,전통시장,중식음식점,72991473.54761904
2015,2,전통시장,치킨전문점,92978995.45689656
2015,2,전통시장,커피·음료,140150845.42982456
2015,2,전통시장,패스트푸드점,137414682.75949368
2015,2,전통시장,한식음식점,765951820.8571428
2015,3,골목상권,분식전문점,117622862.65488811
2015,3,골목상권,양식음식점,243998780.75141242
2015,3,골목상권,일식음식점,154431676.34065935
2015,3,골목상권,중식음식점,123677232.4114114
2015,3,골목상권,치킨전문점,126031575.1006993
2015,3,골목상권,커피·음료,162079099.14482757
2015,3,골목상권,패스트푸드점,111354460.40935673
