STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
2014,1,D,발달상권,1001171,서울 마포구 공덕역_2,정체,123,50,91,44
2014,1,A,골목상권,1000465,독막로8길,상권확장,71,45,91,44
2014,1,A,골목상권,1000005,백석동길,상권확장,67,44,91,44
2014,1,A,골목상권,1000544,중앙로36길,상권축소,109,37,91,44
2014,1,D,발달상권,1001157,서울 강동구 천호역_1,다이나믹,86,43,91,44
2014,1,R,전통시장,1001324,전곡시장,정체,104,52,91,44
2014,1,R,전통시장,1001264,통인시장,정체,100,56,91,44
2014,1,A,골목상권,1000970,고덕로61길,상권축소,99,41,91,44
2014,1,R,전통시장,1001436,사러가시장,정체,153,66,91,44
2014,1,R,전통시장,1001328,이문제일시장,상권축소,94,42,91,44
2014,1,R,전통시장,1001432,도림시장,정체,114,64,91,44
2014,1,R,전통시장,1001421,개봉중앙시장,상권확장,80,47,91,44
2014,1,R,전통시장,1001408,신월중앙시장,다이나믹,79,41,91,44
2014,1,D,발달상권,1001019,포이사거리_1,상권축소,102,42,91,44
2014,1,D,발달상권,1001059,교대역_3,다이나믹,85,42,91,44
2014,1,D,발달상권,1001029,양재역_1,정체,132,48,91,44
2014,1,R,전통시장,1001345,새석관시장,상권축소,132,42,91,44
2014,1,A,골목상권,1000844,강남대로23길,상권축소,108,39,91,44
2014,1,A,골목상권,1000631,구로동로7길,상권축소,92,40,91,44
2014,1,A,골목상권,1000133,긴고랑로20길,상권축소,103,41,91,44
2014,1,D,발달상권,1001097,잠실역 롯데월드,상권확장,82,75,91,44
2014,1,A,골목상권,1000983,성내로5길,상권축소,91,40,91,44
2014,1,D,발달상권,1001153,당산역_1,다이나믹,74,43,91,44
2014,1,D,발달상권,1001215,서울 종로구 광화문역_1,정체,118,67,91,44
2014,1,R,전통시장,1001330,동원시장,상권축소,95,41,91,44
2014,1,A,골목상권,1000416,은평로8길,다이나믹,73,41,91,44
2014,1,A,골목상권,1000368,도봉산길,상권확장,83,48,91,44
2014,1,R,전통시장,1001353,수유전통시장,정체,114,53,91,44
2014,1,A,골목상권,1000411,연서로5길,다이나믹,87,40,91,44
2014,1,A,골목상권,1000309,화랑로13길,정체,92,49,91,44
2014,1,A,골목상권,1000029,난계로21길,정체,116,54,91,44
2014,1,A,골목상권,1000342,오패산로67길,다이나믹,79,32,91,44
2014,1,R,전통시장,1001424,남문시장,상권축소,98,39,91,44
2014,1,D,발달상권,1001075,역삼역_2,정체,104,47,91,44
2014,1,R,전통시장,1001329,동부골목시장,정체,91,47,91,44
2014,1,A,골목상권,1000311,화랑로19길,정체,107,55,91,44
2014,1,D,발달상권,1001045,동작구 총신대입구역_1,상권확장,87,45,91,44
2014,1,A,골목상권,1000104,상원길,상권확장,74,47,91,44
2014,1,A,골목상권,1000202,장한로8길,상권축소,100,36,91,44
2014,1,A,골목상권,1000199,장한로27가길,상권축소,105,38,91,44
2014,1,D,발달상권,1001016,서울 관악구 대학동_1,다이나믹,88,41,91,44
2014,1,A,골목상권,1000076,청파로73길,정체,116,53,91,44
2014,1,D,발달상권,1001086,고속터미널역,정체,114,63,91,44
2014,1,A,골목상권,1000965,오금로46길,다이나믹,87,40,91,44
2014,1,A,골목상권,1000330,삼양로27길,다이나믹,90,37,91,44
2014,1,A,골목상권,1000639,남부순환로97길,상권확장,75,46,91,44
2014,1,A,골목상권,1000074,청파로47나길,상권확장,87,50,91,44
2014,1,A,골목상권,1000140,능동로3길,상권축소,92,43,91,44
2014,1,A,골목상권,1000514,남부순환로58길,상권확장,81,44,91,44
2014,1,D,발달상권,1001253,서울 은평구 연신내역_1,정체,101,63,91,44
2014,1,A,골목상권,1000838,호암로20길,상권확장,76,48,91,44
2014,1,A,골목상권,1000632,구로동로8길,상권축소,103,43,91,44
2014,1,A,골목상권,1000004,명륜길,상권확장,83,55,91,44
2014,1,A,골목상권,1000213,천호대로97길,정체,115,45,91,44
2014,1,A,골목상권,1000948,백제고분로34길,다이나믹,90,43,91,44
2014,1,A,골목상권,1000189,서울시립대로4길,상권확장,79,47,91,44
2014,1,A,골목상권,1000232,동일로130길,상권축소,95,40,91,44
2014,1,A,골목상권,1000513,남부순환로40길,정체,109,45,91,44
2014,1,A,골목상권,1000726,영등포로25길,다이나믹,90,42,91,44
2014,1,D,발달상권,1001200,북창동,정체,135,52,91,44
2014,1,A,골목상권,1000976,동남로85길,다이나믹,83,44,91,44
2014,1,A,골목상권,1000600,초록마을로3길,정체,102,47,91,44
2014,1,A,골목상권,1000761,상도로62길,상권확장,64,46,91,44
2014,1,A,골목상권,1000756,사당로8길,상권축소,96,41,91,44
2014,1,A,골목상권,1000044,퇴계로12길,정체,108,60,91,44
2014,1,A,골목상권,1000943,백제고분로21길,다이나믹,80,36,91,44
2014,1,A,골목상권,1000850,남부순환로339길,상권축소,94,38,91,44
2014,1,A,골목상권,1000769,양녕로26길,다이나믹,84,40,91,44
2014,1,A,골목상권,1000846,강남대로8길,다이나믹,86,43,91,44
2014,1,R,전통시장,1001355,강북종합시장,정체,96,49,91,44
2014,1,A,골목상권,1000105,서울숲2길,다이나믹,88,39,91,44
2014,1,R,전통시장,1001458,인헌시장,정체,91,44,91,44
2014,1,A,골목상권,1000995,올림픽로77길,정체,95,46,91,44
2014,1,A,골목상권,1000223,겸재로36길,다이나믹,70,43,91,44
2014,1,A,골목상권,1000911,도산대로89길,다이나믹,65,43,91,44
2014,1,A,골목상권,1000545,중앙로45길,정체,101,46,91,44
2014,1,R,전통시장,1001267,종로신진시장,정체,128,58,91,44
2014,1,A,골목상권,1000856,동산로10길,상권축소,102,42,91,44
2014,1,R,전통시장,1001439,대림중앙시장,상권확장,91,44,91,44
2014,1,R,전통시장,1001284,서울중앙시장,정체,122,65,91,44
2014,1,A,골목상권,1000927,선릉로146길,다이나믹,71,38,91,44
2014,1,D,발달상권,1001173,서울 강동구 명일역,상권축소,97,42,91,44
2014,1,A,골목상권,1000077,한강대로104길,정체,110,52,91,44
2014,1,A,골목상권,1000572,곰달래로53길,다이나믹,91,44,91,44
2014,1,A,골목상권,1000069,이촌로22길,정체,127,55,91,44
2014,1,A,골목상권,1000362,도봉로147길,다이나믹,81,37,91,44
2014,1,A,골목상권,1000754,사당로2차길,다이나믹,83,40,91,44
2014,1,A,골목상권,1000916,봉은사로68길,다이나믹,76,38,91,44
2014,1,A,골목상권,1000003,돈화문로11가길,정체,97,46,91,44
2014,1,A,골목상권,1000196,장한로25길,상권축소,107,40,91,44
2014,1,A,골목상권,1000040,삼일대로4길,정체,145,50,91,44
2014,1,A,골목상권,1000918,삼성로147길,다이나믹,83,42,91,44
2014,1,A,골목상권,1001001,천중로39길,상권확장,72,48,91,44
2014,1,A,골목상권,1000968,고덕로10길,다이나믹,85,43,91,44
2014,1,A,골목상권,1000296,장위로50길,정체,108,48,91,44
2014,1,D,발달상권,1001263,서울 노원구 노원역_3,다이나믹,74,40,91,44
2014,1,A,골목상권,1000380,동일로192길,상권확장,81,46,91,44
2014,1,A,골목상권,1000360,도봉로114길,다이나믹,86,40,91,44
2014,1,R,전통시장,1001461,신림종합시장,다이나믹,74,42,91,44
2014,1,A,골목상권,1000446,응암로1길,정체,93,45,91,44
2014,1,A,골목상권,1000240,망우로73길,다이나믹,81,41,91,44
2014,1,A,골목상권,1000178,답십리로72길,다이나믹,83,41,91,44
2014,1,R,전통시장,1001433,영일시장,정체,130,46,91,44
2014,1,D,발달상권,1001146,용산구청,상권확장,62,51,91,44
2014,1,D,발달상권,1001187,한양시장,상권확장,80,48,91,44
